,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,3.3865907192230225
1,1,1.0,0.0019646366126835346,0.0,0.0,3.3865907192230225
2,2,2.0,0.003929273225367069,0.0,0.0,4.335376262664795
3,3,3.0,0.005893909838050604,0.0,0.0,1.6123218536376953
4,4,4.0,0.007858546450734138,0.0,0.0,2.117623805999756
5,5,5.0,0.009823182597756386,1.0,1.0,0.0033748839050531387
6,6,6.0,0.011787819676101208,1.0,1.0,0.005519479513168335
7,7,7.0,0.013752455823123455,1.0,1.0,0.0018570628017187119
8,8,8.0,0.015717092901468277,1.0,1.0,0.0018570628017187119
9,9,9.0,0.017681729048490524,1.0,1.0,0.0018570628017187119
10,10,10.0,0.01964636519551277,1.0,1.0,0.0018570628017187119
11,11,11.0,0.02161100134253502,1.0,1.0,0.0018570628017187119
12,12,12.0,0.023575639352202415,1.0,1.0,0.0018570628017187119
13,13,13.0,0.025540275499224663,1.0,1.0,0.0018570628017187119
14,14,14.0,0.02750491164624691,1.0,1.0,0.0018570628017187119
15,15,15.0,0.029469547793269157,1.0,1.0,0.0018570628017187119
16,16,16.0,0.031434185802936554,1.0,1.0,0.0018570628017187119
17,17,17.0,0.0333988219499588,1.0,1.0,0.0018570628017187119
18,18,18.0,0.03536345809698105,1.0,1.0,0.0018570628017187119
19,19,19.0,0.037328094244003296,1.0,1.0,0.0018570628017187119
20,0,0.0,0.0,0.0,0.0,3.3864381313323975
21,1,1.0,0.002288329415023327,0.0,0.0,3.3864381313323975
22,2,2.0,0.004576658830046654,0.0,0.0,4.335516929626465
23,3,3.0,0.006864988710731268,0.0,0.0,1.6110938787460327
24,4,4.0,0.009153317660093307,0.0,0.0,2.1166141033172607
25,5,5.0,0.011441648006439209,1.0,1.0,0.003270968794822693
26,6,6.0,0.013729977421462536,1.0,1.0,0.0052803885191679
27,7,7.0,0.016018306836485863,1.0,1.0,0.0017106067389249802
28,8,8.0,0.018306635320186615,1.0,1.0,0.0017106067389249802
29,9,9.0,0.020594965666532516,1.0,1.0,0.0017106067389249802
30,10,10.0,0.022883296012878418,1.0,1.0,0.0017106067389249802
31,11,11.0,0.02517162449657917,1.0,1.0,0.0017106067389249802
32,12,12.0,0.02745995484292507,1.0,1.0,0.0017106067389249802
33,13,13.0,0.029748283326625824,1.0,1.0,0.0017106067389249802
34,14,14.0,0.032036613672971725,1.0,1.0,0.0017106067389249802
35,15,15.0,0.03432494401931763,1.0,1.0,0.0017106067389249802
36,16,16.0,0.03661327064037323,1.0,1.0,0.0017106067389249802
37,17,16.0,0.03661327064037323,1.0,1.0,0.0017106067389249802
38,18,18.0,0.04118993133306503,1.0,1.0,0.0017106067389249802
39,19,19.0,0.043478261679410934,1.0,1.0,0.0017106067389249802
40,0,0.0,0.0,1.0,1.0,0.36389610171318054
41,1,1.0,0.0625,1.0,1.0,0.06272478401660919
42,2,2.0,0.125,0.0,0.0,2.214259386062622
43,3,3.0,0.1875,0.0,0.0,1.2400667667388916
44,4,4.0,0.25,0.0,0.0,0.5807846784591675
45,5,5.0,0.3125,1.0,1.0,0.041795141994953156
46,6,6.0,0.375,1.0,1.0,0.01540202647447586
47,7,7.0,0.4375,1.0,1.0,0.01540202647447586
48,8,7.0,0.4375,1.0,1.0,0.01540202647447586
49,9,7.0,0.4375,1.0,1.0,0.01540202647447586
50,10,7.0,0.4375,1.0,1.0,0.01540202647447586
51,11,7.0,0.4375,1.0,1.0,0.01540202647447586
52,12,7.0,0.4375,1.0,1.0,0.01540202647447586
53,13,7.0,0.4375,1.0,1.0,0.01540202647447586
54,14,7.0,0.4375,1.0,1.0,0.01540202647447586
55,15,7.0,0.4375,1.0,1.0,0.01540202647447586
56,16,16.0,1.0,1.0,1.0,0.0
57,17,16.0,1.0,1.0,1.0,0.0
58,18,16.0,1.0,1.0,1.0,0.0
59,19,16.0,1.0,1.0,1.0,0.0
60,0,0.0,0.0,1.0,0.0,1.0735703706741333
61,1,1.0,0.005025125574320555,1.0,0.0,0.9967975616455078
62,2,2.0,0.01005025114864111,0.0,0.0,2.1688718795776367
63,3,3.0,0.015075377188622952,0.0,1.0,0.3313497304916382
64,4,4.0,0.02010050229728222,1.0,0.0,1.0142967700958252
65,5,5.0,0.02512562833726406,0.0,1.0,0.7183830142021179
66,6,6.0,0.030150754377245903,0.0,1.0,0.7131657600402832
67,7,7.0,0.035175878554582596,0.0,1.0,0.8416860103607178
68,8,8.0,0.04020100459456444,0.0,1.0,0.8416860103607178
69,9,9.0,0.04522613063454628,0.0,1.0,0.8416860103607178
70,10,10.0,0.05025125667452812,0.0,1.0,0.9618940949440002
71,11,11.0,0.055276382714509964,0.0,1.0,0.9618940949440002
72,12,12.0,0.060301508754491806,0.0,1.0,0.8699316382408142
73,13,13.0,0.06532663106918335,0.0,1.0,0.8699316382408142
74,14,14.0,0.07035175710916519,0.0,1.0,0.8123945593833923
75,15,15.0,0.07537688314914703,0.0,1.0,0.8123945593833923
76,16,16.0,0.08040200918912888,0.0,1.0,0.8123945593833923
77,17,16.0,0.08040200918912888,0.0,1.0,0.8123945593833923
78,18,16.0,0.08040200918912888,0.0,1.0,0.8123945593833923
79,19,19.0,0.0954773873090744,0.0,1.0,0.8123945593833923
80,0,0.0,0.0,0.0,0.0,3.2695152759552
81,1,1.0,0.0019342360319569707,0.0,0.0,2.7325570583343506
82,2,2.0,0.0038684720639139414,0.0,0.0,4.220746040344238
83,3,3.0,0.005802707746624947,0.0,0.0,1.585633635520935
84,4,4.0,0.007736944127827883,1.0,1.0,0.00906989723443985
85,5,5.0,0.009671179577708244,1.0,1.0,0.013469113036990166
86,6,6.0,0.011605415493249893,1.0,1.0,0.015316640958189964
87,7,7.0,0.013539651408791542,1.0,1.0,0.010444918647408485
88,8,8.0,0.015473888255655766,1.0,1.0,0.008555160835385323
89,9,9.0,0.01740812323987484,1.0,1.0,0.008555160835385323
90,10,10.0,0.01934235915541649,1.0,1.0,0.008555160835385323
91,11,11.0,0.021276595070958138,1.0,1.0,0.008555160835385323
92,12,12.0,0.023210830986499786,1.0,1.0,0.008555160835385323
93,13,13.0,0.025145066902041435,1.0,1.0,0.008555160835385323
94,14,14.0,0.027079302817583084,1.0,1.0,0.008555160835385323
