,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0.0,0.0,0.0,0.0,1.0,8.381903171539307e-09
1,0.05,0.0,0.0,0.0,1.0,8.381903171539307e-09
2,0.1,0.0,0.0,0.0,1.0,8.381903171539307e-09
3,0.15000000000000002,0.0,0.0,0.0,1.0,8.381903171539307e-09
4,0.2,0.0,0.0,0.0,1.0,8.381903171539307e-09
5,0.25,0.0,0.0,0.0,1.0,8.381903171539307e-09
6,0.30000000000000004,0.0,0.0,0.0,1.0,8.381903171539307e-09
7,0.35000000000000003,0.0,0.0,0.0,1.0,8.381903171539307e-09
8,0.4,0.0,0.0,0.0,1.0,8.381903171539307e-09
9,0.45,0.0,0.0,0.0,1.0,8.381903171539307e-09
10,0.5,0.0,0.0,0.0,1.0,8.381903171539307e-09
11,0.55,0.0,0.0,0.0,1.0,8.381903171539307e-09
12,0.6000000000000001,0.0,0.0,0.0,1.0,8.381903171539307e-09
13,0.65,0.0,0.0,0.0,1.0,8.381903171539307e-09
14,0.7000000000000001,0.0,0.0,0.0,1.0,8.381903171539307e-09
15,0.75,0.0,0.0,0.0,1.0,8.381903171539307e-09
16,0.8,0.0,0.0,0.0,1.0,8.381903171539307e-09
17,0.8500000000000001,0.0,0.0,0.0,1.0,8.381903171539307e-09
18,0.9,0.0,0.0,0.0,1.0,8.381903171539307e-09
19,0.9500000000000001,0.0,0.0,0.0,1.0,8.381903171539307e-09
20,0.0,0.0,0.0,0.0,1.0,-6.984919309616089e-08
21,0.05,0.0,0.0,0.0,1.0,-6.984919309616089e-08
22,0.1,0.0,0.0,0.0,1.0,-6.984919309616089e-08
23,0.15000000000000002,0.0,0.0,0.0,1.0,-6.984919309616089e-08
24,0.2,0.0,0.0,0.0,1.0,-6.984919309616089e-08
25,0.25,0.0,0.0,0.0,1.0,-6.984919309616089e-08
26,0.30000000000000004,0.0,0.0,0.0,1.0,-6.984919309616089e-08
27,0.35000000000000003,0.0,0.0,0.0,1.0,-6.984919309616089e-08
28,0.4,0.0,0.0,0.0,1.0,-6.984919309616089e-08
29,0.45,0.0,0.0,0.0,1.0,-6.984919309616089e-08
30,0.5,0.0,0.0,0.0,1.0,-6.984919309616089e-08
31,0.55,0.0,0.0,0.0,1.0,-6.984919309616089e-08
32,0.6000000000000001,0.0,0.0,0.0,1.0,-6.984919309616089e-08
33,0.65,0.0,0.0,0.0,1.0,-6.984919309616089e-08
34,0.7000000000000001,0.0,0.0,0.0,1.0,-6.984919309616089e-08
35,0.75,0.0,0.0,0.0,1.0,-6.984919309616089e-08
36,0.8,0.0,0.0,0.0,1.0,-6.984919309616089e-08
37,0.8500000000000001,0.0,0.0,0.0,1.0,-6.984919309616089e-08
38,0.9,0.0,0.0,0.0,1.0,-6.984919309616089e-08
39,0.9500000000000001,0.0,0.0,0.0,1.0,-6.984919309616089e-08
40,0.0,0.0,0.0,0.0,1.0,5.9371814131736755e-08
41,0.05,0.0,0.0,0.0,1.0,5.9371814131736755e-08
42,0.1,0.0,0.0,0.0,1.0,5.9371814131736755e-08
43,0.15000000000000002,0.0,0.0,0.0,1.0,5.9371814131736755e-08
44,0.2,0.0,0.0,0.0,1.0,5.9371814131736755e-08
45,0.25,0.0,0.0,0.0,1.0,5.9371814131736755e-08
46,0.30000000000000004,0.0,0.0,0.0,1.0,5.9371814131736755e-08
47,0.35000000000000003,0.0,0.0,0.0,1.0,5.9371814131736755e-08
48,0.4,0.0,0.0,0.0,1.0,5.9371814131736755e-08
49,0.45,0.0,0.0,0.0,1.0,5.9371814131736755e-08
50,0.5,0.0,0.0,0.0,1.0,5.9371814131736755e-08
51,0.55,0.0,0.0,0.0,1.0,5.9371814131736755e-08
52,0.6000000000000001,0.0,0.0,0.0,1.0,5.9371814131736755e-08
53,0.65,0.0,0.0,0.0,1.0,5.9371814131736755e-08
54,0.7000000000000001,0.0,0.0,0.0,1.0,5.9371814131736755e-08
55,0.75,0.0,0.0,0.0,1.0,5.9371814131736755e-08
56,0.8,0.0,0.0,0.0,1.0,5.9371814131736755e-08
57,0.8500000000000001,0.0,0.0,0.0,1.0,5.9371814131736755e-08
58,0.9,0.0,0.0,0.0,1.0,5.9371814131736755e-08
59,0.9500000000000001,0.0,0.0,0.0,1.0,5.9371814131736755e-08
60,0.0,0.0,0.0,,1.0,1.4901161193847656e-08
61,0.05,0.0,0.0,,1.0,1.4901161193847656e-08
62,0.1,0.0,0.0,,1.0,1.4901161193847656e-08
63,0.15000000000000002,0.0,0.0,,1.0,1.4901161193847656e-08
64,0.2,0.0,0.0,,1.0,1.4901161193847656e-08
65,0.25,0.0,0.0,,1.0,1.4901161193847656e-08
66,0.30000000000000004,0.0,0.0,,1.0,1.4901161193847656e-08
67,0.35000000000000003,0.0,0.0,,1.0,1.4901161193847656e-08
68,0.4,0.0,0.0,,1.0,1.4901161193847656e-08
69,0.45,0.0,0.0,,1.0,1.4901161193847656e-08
70,0.5,0.0,0.0,,1.0,1.4901161193847656e-08
71,0.55,0.0,0.0,,1.0,1.4901161193847656e-08
72,0.6000000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
73,0.65,0.0,0.0,,1.0,1.4901161193847656e-08
74,0.7000000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
75,0.75,0.0,0.0,,1.0,1.4901161193847656e-08
76,0.8,0.0,0.0,,1.0,1.4901161193847656e-08
77,0.8500000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
78,0.9,0.0,0.0,,1.0,1.4901161193847656e-08
79,0.9500000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
80,0.0,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
81,0.05,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
82,0.1,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
83,0.15000000000000002,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
84,0.2,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
85,0.25,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
86,0.30000000000000004,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
87,0.35000000000000003,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
88,0.4,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
89,0.45,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
90,0.5,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
91,0.55,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
92,0.6000000000000001,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
93,0.65,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
94,0.7000000000000001,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
95,0.75,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
96,0.8,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
97,0.8500000000000001,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
98,0.9,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
99,0.9500000000000001,0.0,0.0,0.0,1.0,-2.3748725652694702e-08
100,0.0,0.0,0.0,0.0,1.0,-9.313225746154785e-08
101,0.05,0.0,0.0,0.0,1.0,-9.313225746154785e-08
102,0.1,0.0,0.0,0.0,1.0,-9.313225746154785e-08
103,0.15000000000000002,0.0,0.0,0.0,1.0,-9.313225746154785e-08
