,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
122,2,2.0,0.3333333432674408,0.0,0.0,3.8055973052978516
123,3,2.0,0.3333333432674408,0.0,0.0,3.8055973052978516
124,4,4.0,0.6666666865348816,0.0,0.0,2.164020299911499
125,5,4.0,0.6666666865348816,0.0,0.0,2.164020299911499
126,6,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
127,7,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
128,8,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
129,9,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
130,10,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
131,11,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
132,12,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
133,13,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
134,14,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
135,15,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
136,16,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
137,17,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
138,18,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
139,19,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
140,0,0.0,0.0,0.0,0.0,4.221336364746094
141,1,1.0,0.1428571492433548,0.0,0.0,4.385486602783203
142,2,2.0,0.2857142984867096,0.0,0.0,3.8059866428375244
143,3,3.0,0.4285714328289032,0.0,0.0,3.3637518882751465
144,4,4.0,0.5714285969734192,0.0,0.0,2.1643309593200684
145,5,5.0,0.7142857313156128,1.0,1.0,0.014910418540239334
146,6,6.0,0.8571428656578064,1.0,1.0,1.424923539161682e-07
147,7,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
148,8,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
149,9,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
150,10,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
151,11,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
152,12,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
153,13,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
154,14,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
155,15,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
156,16,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
157,17,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
158,18,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
159,19,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
160,0,0.0,0.0,0.0,0.0,4.039262771606445
161,1,1.0,0.09090909361839294,0.0,0.0,4.199736595153809
162,2,2.0,0.1818181872367859,0.0,0.0,3.6332550048828125
163,3,3.0,0.27272728085517883,0.0,0.0,3.5562000274658203
164,4,4.0,0.3636363744735718,0.0,0.0,3.5135951042175293
