,graph_idx,dim,info
0,701,0,0.6570497751235962
1,701,1,0.09687018394470215
2,701,2,0.09214244037866592
3,701,3,0.012919537723064423
4,701,4,0.01572008803486824
5,701,5,0.009685489349067211
6,701,6,0.015554743818938732
7,701,7,0.010682397522032261
8,701,8,0.00984053686261177
9,701,9,0.009486531838774681
10,701,10,0.011144361458718777
11,701,11,0.015405752696096897
12,701,12,0.011855249293148518
13,701,13,0.013997906818985939
14,701,14,0.010749625973403454
15,701,15,0.0068953861482441425
16,709,0,0.7781909704208374
17,709,1,0.04154755920171738
18,709,2,0.04239778593182564
19,709,3,0.0116545669734478
20,709,4,0.008328775875270367
21,709,5,0.01180603913962841
22,709,6,0.00955249648541212
23,709,7,0.010890763252973557
24,709,8,0.011212563142180443
25,709,9,0.009247351437807083
26,709,10,0.01623770408332348
27,709,11,0.005563464015722275
28,709,12,0.01623251847922802
29,709,13,0.009239180944859982
30,709,14,0.010183840058743954
31,709,15,0.007714401930570602
32,710,0,0.6674069166183472
33,710,1,0.07748939096927643
34,710,2,0.10815529525279999
35,710,3,0.007735983468592167
36,710,4,0.007552024908363819
37,710,5,0.010639655403792858
38,710,6,0.016610370948910713
39,710,7,0.008716707117855549
40,710,8,0.008483201265335083
41,710,9,0.015475984662771225
42,710,10,0.011672603897750378
43,710,11,0.010693219490349293
44,710,12,0.01813744753599167
45,710,13,0.011475087143480778
46,710,14,0.013239184394478798
47,710,15,0.006516899913549423
48,716,0,0.7217769622802734
49,716,1,0.07312288135290146
50,716,2,0.06167082116007805
51,716,3,0.012479027733206749
52,716,4,0.011487496085464954
53,716,5,0.009309058077633381
54,716,6,0.0163878146559
55,716,7,0.008701995015144348
56,716,8,0.009722357615828514
57,716,9,0.015432683750987053
58,716,10,0.008048543706536293
59,716,11,0.006390998139977455
60,716,12,0.01803891733288765
61,716,13,0.007241434417665005
62,716,14,0.009958643466234207
63,716,15,0.01023036427795887
64,726,0,0.6891103386878967
65,726,1,0.057399995625019073
66,726,2,0.11090381443500519
67,726,3,0.008782445453107357
68,726,4,0.011803359724581242
69,726,5,0.007613229565322399
70,726,6,0.010601244866847992
71,726,7,0.014057736843824387
72,726,8,0.011333896778523922
73,726,9,0.008465303108096123
74,726,10,0.015747573226690292
75,726,11,0.006537445355206728
76,726,12,0.013669861480593681
77,726,13,0.013153024949133396
78,726,14,0.012099611572921276
79,726,15,0.00872108992189169
80,727,0,0.6672925353050232
81,727,1,0.08160240948200226
82,727,2,0.08677346259355545
83,727,3,0.009957053698599339
84,727,4,0.00940700713545084
85,727,5,0.013509238138794899
86,727,6,0.00972241535782814
87,727,7,0.012520036660134792
88,727,8,0.0077737499959766865
89,727,9,0.016918299719691277
90,727,10,0.012309572659432888
91,727,11,0.014037413522601128
92,727,12,0.017897523939609528
93,727,13,0.011269529350101948
94,727,14,0.012250673025846481
95,727,15,0.016759060323238373
96,730,0,0.7410455942153931
97,730,1,0.054000064730644226
98,730,2,0.041772857308387756
99,730,3,0.015378659591078758
100,730,4,0.022910727187991142
101,730,5,0.011952116154134274
102,730,6,0.008091947995126247
103,730,7,0.014231549575924873
104,730,8,0.00999770313501358
105,730,9,0.007369557395577431
106,730,10,0.010632160119712353
107,730,11,0.013562268577516079
108,730,12,0.013986988924443722
109,730,13,0.008300889283418655
110,730,14,0.013742746785283089
111,730,15,0.013024172745645046
112,731,0,0.7260132431983948
113,731,1,0.07433491200208664
114,731,2,0.07213780283927917
115,731,3,0.004445892758667469
116,731,4,0.011762767098844051
117,731,5,0.008067670278251171
118,731,6,0.007454130332916975
119,731,7,0.0060897935181856155
120,731,8,0.015560192056000233
121,731,9,0.006205977872014046
122,731,10,0.017530852928757668
123,731,11,0.017393596470355988
124,731,12,0.0067617869935929775
125,731,13,0.007310523651540279
126,731,14,0.011860332451760769
127,731,15,0.007070505525916815
128,735,0,0.7186936736106873
129,735,1,0.06287947297096252
130,735,2,0.07994235306978226
131,735,3,0.012794221751391888
132,735,4,0.01284994836896658
133,735,5,0.010686686262488365
134,735,6,0.014035016298294067
135,735,7,0.01650591939687729
136,735,8,0.007362326141446829
137,735,9,0.00916832685470581
138,735,10,0.004957837052643299
139,735,11,0.010654624551534653
140,735,12,0.01067386195063591
141,735,13,0.009876283816993237
142,735,14,0.010639967396855354
143,735,15,0.008279449306428432
144,753,0,0.6667526364326477
145,753,1,0.0574328638613224
146,753,2,0.09690240770578384
147,753,3,0.01037504244595766
148,753,4,0.012836539186537266
149,753,5,0.016076870262622833
150,753,6,0.019018538296222687
151,753,7,0.010602133348584175
152,753,8,0.007499995641410351
153,753,9,0.01517077349126339
154,753,10,0.010911315679550171
155,753,11,0.013607535511255264
156,753,12,0.012351416982710361
157,753,13,0.0130003085359931
158,753,14,0.017301224172115326
159,753,15,0.020160390064120293
160,763,0,0.6986680030822754
161,763,1,0.08984106779098511
